sample_size,num_attributes,num_fds,fd_density,minimal_cover_size,reduction_ratio,total_fd_sets,below_2nf_count,2nf_count,3nf_count,bcnf_count,below_2nf_rate,2nf_rate,3nf_rate,bcnf_rate
56,5,75,0.7466666666666667,5.780167,0.07706889333333333,30000,1,0,0,29999,3.3333333333333335e-05,0.0,0.0,0.9999666666666667
60,5,75,0.8,5.705175,0.076069,40000,0,0,0,40000,0.0,0.0,0.0,1.0
64,5,75,0.8533333333333334,5.853933,0.07805244,30000,0,0,0,30000,0.0,0.0,0.0,1.0
68,5,75,0.9066666666666666,5.9078,0.07877066666666667,30000,0,0,0,30000,0.0,0.0,0.0,1.0
71,5,75,0.9466666666666667,5.946267,0.07928356,30000,0,0,0,30000,0.0,0.0,0.0,1.0
75,5,75,1.0,6.0,0.08,30000,0,0,0,30000,0.0,0.0,0.0,1.0
1,6,186,0.005376344086021506,0.961467,0.005169177419354839,90000,396,620,54572,34412,0.0044,0.006888888888888889,0.6063555555555555,0.38235555555555556
2,6,186,0.010752688172043012,1.860733,0.010003940860215053,60000,1017,1211,49025,8747,0.01695,0.020183333333333334,0.8170833333333334,0.14578333333333332
3,6,186,0.016129032258064516,2.674967,0.014381543010752689,60000,2334,1933,52427,3306,0.0389,0.032216666666666664,0.8737833333333334,0.0551
4,6,186,0.021505376344086023,3.431833,0.01845071505376344,60000,3652,2472,52659,1217,0.060866666666666666,0.0412,0.87765,0.020283333333333334
5,6,186,0.026881720430107527,4.094367,0.022012725806451614,60000,4939,2820,51655,586,0.08231666666666666,0.047,0.8609166666666667,0.009766666666666667
6,6,186,0.03225806451612903,4.670683,0.025111198924731185,60000,6204,2769,50645,382,0.1034,0.04615,0.8440833333333333,0.006366666666666666
7,6,186,0.03763440860215054,5.170333,0.02779748924731183,60000,7189,2706,49705,400,0.11981666666666667,0.0451,0.8284166666666667,0.006666666666666667
8,6,186,0.043010752688172046,5.6141,0.030183333333333333,60000,8097,2454,48902,547,0.13495,0.0409,0.8150333333333334,0.009116666666666667
9,6,186,0.04838709677419355,6.011367,0.03231917741935484,30000,4458,1153,23990,399,0.1486,0.03843333333333333,0.7996666666666666,0.0133
13,6,186,0.06989247311827956,7.001367,0.03764175806451613,30000,4605,567,23358,1470,0.1535,0.0189,0.7786,0.049
14,6,186,0.07526881720430108,7.1657,0.0385252688172043,30000,4601,442,23111,1846,0.15336666666666668,0.014733333333333333,0.7703666666666666,0.061533333333333336
15,6,186,0.08064516129032258,7.2905,0.039196236559139785,30000,4609,324,22784,2283,0.15363333333333334,0.0108,0.7594666666666666,0.0761
16,6,186,0.08602150537634409,7.3811,0.039683333333333334,30000,4429,302,22469,2800,0.14763333333333334,0.010066666666666666,0.7489666666666667,0.09333333333333334
17,6,186,0.0913978494623656,7.4621,0.04011881720430108,30000,4387,223,21981,3409,0.14623333333333333,0.0074333333333333335,0.7327,0.11363333333333334
18,6,186,0.0967741935483871,7.510633,0.04037974731182796,30000,4258,177,21501,4064,0.14193333333333333,0.0059,0.7167,0.13546666666666668
19,6,186,0.10215053763440861,7.5479,0.04058010752688172,30000,4097,138,21109,4656,0.13656666666666667,0.0046,0.7036333333333333,0.1552
20,6,186,0.10752688172043011,7.558167,0.0406353064516129,30000,4052,94,20362,5492,0.13506666666666667,0.0031333333333333335,0.6787333333333333,0.18306666666666666
21,6,186,0.11290322580645161,7.587567,0.04079337096774194,30000,3976,74,19799,6151,0.13253333333333334,0.0024666666666666665,0.6599666666666667,0.20503333333333335
22,6,186,0.11827956989247312,7.5911,0.04081236559139785,30000,3994,65,18910,7031,0.13313333333333333,0.0021666666666666666,0.6303333333333333,0.23436666666666667
23,6,186,0.12365591397849462,7.5949,0.04083279569892473,30000,3848,40,18324,7788,0.12826666666666667,0.0013333333333333333,0.6108,0.2596
24,6,186,0.12903225806451613,7.5999,0.04085967741935484,30000,3738,35,17815,8412,0.1246,0.0011666666666666668,0.5938333333333333,0.2804
25,6,186,0.13440860215053763,7.5827,0.04076720430107527,30000,3744,28,16871,9357,0.1248,0.0009333333333333333,0.5623666666666667,0.3119
26,6,186,0.13978494623655913,7.5571,0.04062956989247312,30000,3565,20,16173,10242,0.11883333333333333,0.0006666666666666666,0.5391,0.3414
27,6,186,0.14516129032258066,7.544133,0.04055985483870968,30000,3582,13,15332,11073,0.1194,0.0004333333333333333,0.5110666666666667,0.3691
28,6,186,0.15053763440860216,7.532683,0.04049829569892473,60000,7071,27,29447,23455,0.11785,0.00045,0.49078333333333335,0.3909166666666667
29,6,186,0.15591397849462366,7.5168,0.04041290322580645,30000,3382,6,14003,12609,0.11273333333333334,0.0002,0.46676666666666666,0.4203
30,6,186,0.16129032258064516,7.478367,0.04020627419354839,30000,3374,4,13058,13564,0.11246666666666667,0.00013333333333333334,0.4352666666666667,0.45213333333333333
31,6,186,0.16666666666666666,7.4464,0.04003440860215054,30000,3282,3,12420,14295,0.1094,0.0001,0.414,0.4765
32,6,186,0.17204301075268819,7.443133,0.040016844086021505,30000,3223,3,11917,14857,0.10743333333333334,0.0001,0.3972333333333333,0.49523333333333336
33,6,186,0.1774193548387097,7.4074,0.0398247311827957,30000,3152,3,11120,15725,0.10506666666666667,0.0001,0.37066666666666664,0.5241666666666667
34,6,186,0.1827956989247312,7.3766,0.039659139784946236,30000,3143,1,10278,16578,0.10476666666666666,3.3333333333333335e-05,0.3426,0.5526
35,6,186,0.1881720430107527,7.353567,0.039535306451612906,30000,3019,0,9591,17390,0.10063333333333334,0.0,0.3197,0.5796666666666667
36,6,186,0.1935483870967742,7.336033,0.0394410376344086,30000,2980,0,9166,17854,0.09933333333333333,0.0,0.3055333333333333,0.5951333333333333
37,6,186,0.1989247311827957,7.3436,0.03948172043010753,30000,2887,1,8438,18674,0.09623333333333334,3.3333333333333335e-05,0.28126666666666666,0.6224666666666666
38,6,186,0.20430107526881722,7.287733,0.039181360215053765,30000,2925,0,7627,19448,0.0975,0.0,0.2542333333333333,0.6482666666666667
39,6,186,0.20967741935483872,7.2671,0.03907043010752688,30000,2838,0,7347,19815,0.0946,0.0,0.2449,0.6605
40,6,186,0.21505376344086022,7.2494,0.0389752688172043,30000,2744,0,6692,20564,0.09146666666666667,0.0,0.22306666666666666,0.6854666666666667
41,6,186,0.22043010752688172,7.234233,0.03889372580645161,30000,2667,0,6292,21041,0.0889,0.0,0.20973333333333333,0.7013666666666667
42,6,186,0.22580645161290322,7.222967,0.03883315591397849,30000,2661,0,5854,21485,0.0887,0.0,0.19513333333333333,0.7161666666666666
43,6,186,0.23118279569892472,7.201133,0.0387157688172043,30000,2674,0,5334,21992,0.08913333333333333,0.0,0.1778,0.7330666666666666
44,6,186,0.23655913978494625,7.1804,0.03860430107526881,30000,2418,0,4870,22712,0.0806,0.0,0.16233333333333333,0.7570666666666667
45,6,186,0.24193548387096775,7.160667,0.038498209677419355,30000,2358,0,4569,23073,0.0786,0.0,0.1523,0.7691
46,6,186,0.24731182795698925,7.300383,0.039249370967741934,60000,4543,0,8405,47052,0.07571666666666667,0.0,0.14008333333333334,0.7842
47,6,186,0.25268817204301075,7.138033,0.03837652150537634,30000,2231,0,3776,23993,0.07436666666666666,0.0,0.12586666666666665,0.7997666666666666
48,6,186,0.25806451612903225,7.1244,0.03830322580645161,30000,2206,0,3527,24267,0.07353333333333334,0.0,0.11756666666666667,0.8089
49,6,186,0.26344086021505375,7.121633,0.03828834946236559,30000,2067,0,3184,24749,0.0689,0.0,0.10613333333333333,0.8249666666666666
50,6,186,0.26881720430107525,7.098333,0.038163080645161294,30000,2037,0,2881,25082,0.0679,0.0,0.09603333333333333,0.8360666666666666
